Code,Title,Netizen_rating,Netizen_num,Genre
163788,알라딘,9.48,15212,모험;가족;판타지;뮤지컬;멜로/로맨스;
101966,토이 스토리 4,9.32,1975,애니메이션;모험;코미디;가족;판타지;
179125,롱 리브 더 킹: 목포 영웅,8.05,3893,액션;드라마;
161967,기생충,8.50,27917,드라마;
97631,맨 인 블랙: 인터내셔널,5.83,2943,액션;코미디;SF;
183820,사탄의 인형,7.70,390,공포;
183836,천로역정: 천국을 찾아서,8.98,369,애니메이션;모험;
18781,이웃집 토토로,9.26,2812,애니메이션;가족;판타지;
136900,어벤져스: 엔드게임,9.39,66993,액션;SF;
167053,업사이드,8.69,155,코미디;드라마;
137865,세상을 바꾼 변호인,8.97,193,드라마;
164125,엑스맨: 다크 피닉스,6.69,4428,액션;모험;SF;
184403,쓰리 세컨즈,9.27,95,드라마;
183132,교회오빠,9.36,1276,다큐멘터리;
168061,북클럽,7.83,18,코미디;
174833,행복한 라짜로,8.08,13,드라마;판타지;
181704,로켓맨,8.23,832,드라마;판타지;
162875,해피엔드,7.12,8,드라마;
176040,파리의 딜릴리,8.94,100,애니메이션;가족;미스터리;
183113,극장판 오소마츠 6쌍둥이,9.10,73,애니메이션;코미디;
182708,비블리아 고서당 사건수첩,6.00,3,드라마;미스터리;
69598,체 게바라: 1부 아르헨티나,6.64,25,드라마;전쟁;
177967,악인전,8.12,9047,범죄;액션;
184912,킹 오브 프리즘 -샤이니 세븐 스타즈- Ⅳ 루이x신x언노운,6.09,53,애니메이션;
179397,보희와 녹양,8.97,77,드라마;
137327,고질라: 킹 오브 몬스터,7.26,2672,액션;모험;SF;
167597,에움길,9.10,29,다큐멘터리;
171467,글로리아 벨,8.00,44,드라마;멜로/로맨스;
174265,닥치고 피아노!,8.48,21,다큐멘터리;
159743,평일 오후 3시의 연인,8.88,17,드라마;멜로/로맨스;
69599,체 게바라: 2부 게릴라,6.67,15,드라마;전쟁;
151550,서스페리아,6.90,543,공포;
134963,라라랜드,8.59,23566,드라마;뮤지컬;멜로/로맨스;
179971,하나레이 베이,7.88,25,드라마;
152659,하우스 오브 투모로우,10.00,8,드라마;
183275,아녜스가 말하는 바르다,9.18,33,다큐멘터리;
101950,그녀,8.50,5693,드라마;멜로/로맨스;
148863,안도 타다오,8.41,309,다큐멘터리;
185045,엘리펀트킹 덤보,5.10,20,애니메이션;모험;코미디;
183136,뽀로로 극장판 보물섬 대모험,9.29,2356,애니메이션;
14320,서스페리아 1977,7.72,219,공포;
29797,어둠 속의 댄서,8.43,561,드라마;뮤지컬;
179506,김군,8.14,202,다큐멘터리;
78838,멜랑콜리아,7.69,689,드라마;SF;미스터리;판타지;
173413,논-픽션,7.73,48,드라마;
52991,안티크라이스트,6.52,409,공포;드라마;스릴러;
147945,다가오는 것들,8.33,707,드라마;
27111,로제타,8.67,45,드라마;
174065,걸캅스,5.69,42536,코미디;액션;
18222,브레이킹 더 웨이브,8.79,130,드라마;뮤지컬;
183481,퍼펙트 타겟,9.22,9,액션;드라마;전쟁;
144975,패터슨,8.32,1147,드라마;
101962,캐롤,8.57,3786,드라마;멜로/로맨스;
180169,어린 의뢰인,9.02,1277,드라마;
175445,맥퀸,8.64,88,다큐멘터리;
168745,검은 여름,9.80,5,멜로/로맨스;
36950,도그빌,8.75,1462,드라마;스릴러;미스터리;
124840,윈터 슬립,8.17,157,드라마;
11919,유로파,7.58,31,스릴러;드라마;
174530,시민 노무현,5.71,275,다큐멘터리;
16601,바그다드 카페 : 디렉터스컷,9.03,836,코미디;드라마;
24674,백치들,6.74,35,드라마;
162203,폴라로이드,5.46,80,공포;
98447,님포매니악 볼륨2,7.73,434,드라마;미스터리;
162854,바르다가 사랑한 얼굴들,8.86,407,다큐멘터리;
171409,옹알스,8.38,61,코미디;다큐멘터리;
162295,블랙 47,7.67,6,드라마;
98446,님포매니악 볼륨1,7.63,543,드라마;
183804,우리 지금 만나,6.95,21,드라마;
40920,만덜레이,8.01,67,드라마;
164335,산상수훈,6.54,183,드라마;
163008,살인마 잭의 집,6.40,429,드라마;공포;스릴러;
177371,0.0MHz,5.16,1795,공포;
158910,예수는 역사다,7.69,1227,드라마;
98738,프란시스 하,8.10,912,코미디;멜로/로맨스;
14125,화니 페이스,8.38,13,멜로/로맨스;코미디;뮤지컬;
18743,비브르 사 비,8.24,97,드라마;
35180,아들,8.42,114,드라마;
146311,나의 산티아고,8.13,729,코미디;
171539,그린 북,9.61,5755,드라마;
76276,돈키호테를 죽인 사나이,8.07,41,모험;드라마;
174830,가버나움,9.59,2799,드라마;
120759,스틸 앨리스,8.50,839,드라마;
179318,일일시호일,8.86,798,드라마;
170309,뿔을 가진 소년,7.62,13,드라마;
170290,소은이의 무릎,9.35,23,드라마;
181320,나는 원래 대전에서 로맨틱 코미디를 찍으려고 했었다,7.75,4,드라마;
47701,마더,8.08,9771,범죄;미스터리;드라마;스릴러;
35901,살인의 추억,9.38,6076,범죄;미스터리;스릴러;코미디;드라마;
62328,설국열차,7.97,38008,SF;액션;드라마;
182777,아픈 만큼 사랑한다,9.71,140,다큐멘터리;
19111,킹덤,6.69,67,공포;
19922,그대와 영원히,6.75,4,드라마;
23638,김두한 2 - 협객 김두한,10.00,11,액션;드라마;
123298,내일을 위한 시간,8.58,903,드라마;
41554,더 차일드,8.27,132,범죄;드라마;멜로/로맨스;
149479,델타 보이즈,8.78,384,드라마;코미디;
131512,러브 인 프로방스,8.78,232,드라마;
172605,루스 베이더 긴즈버그 : 나는 반대한다,9.38,167,다큐멘터리;
31940,메멘토,8.81,4720,범죄;스릴러;미스터리;
173692,바울,9.17,1928,드라마;
162014,밤쉘,9.21,141,다큐멘터리;
29369,백조,4.00,3,코미디;드라마;멜로/로맨스;
12107,살로메,8.00,1,드라마;
10415,쇼처럼 즐거운 인생은 없다,7.50,8,뮤지컬;
183741,아이아이 가사: 다시 만난 그날,8.89,9,가족;드라마;
150372,언노운 걸,7.86,280,드라마;
174304,예수보다 낯선,8.27,30,코미디;
97721,와즈다,8.59,216,드라마;
167638,완벽한 타인,8.63,23178,드라마;코미디;
173575,우리가족: 라멘샵,8.04,72,드라마;
85606,자전거 탄 소년,8.61,446,드라마;
98506,진저 앤 로사,7.23,104,드라마;
16288,천지창조,7.64,22,
181717,칠곡 가시나들,9.12,411,다큐멘터리;
19112,킹덤 2,7.27,15,
183910,딸의 친구 3,7.20,5,멜로/로맨스;
155123,미스 사이공: 25주년 특별 공연,9.18,252,공연실황;